20001,2,Mustang,2020,Silver,1,1000,20100.00,350.00
20002,3,Tahoe,2021,Silver,0,2000,20200.00,350.00
20003,4,GX460,2022,Silver,1,3000,20300.00,350.00
20004,5,Civic,2023,Silver,0,4000,20400.00,350.00
20005,6,Sentra,2024,Silver,1,5000,20500.00,350.00
20006,7,1500,2025,Silver,0,6000,20600.00,350.00
20007,8,MT-07,2019,Silver,1,7000,20700.00,350.00
20008,9,V-Strom,2020,Silver,0,8000,20800.00,350.00
20009,10,Corolla,2021,Silver,1,9000,20900.00,350.00
20010,11,Explorer,2022,Silver,0,10000,21000.00,350.00
20011,12,Equinox,2023,Silver,1,11000,21100.00,350.00
20012,13,RX350,2024,Silver,0,12000,21200.00,350.00
20013,14,Accord,2025,Silver,1,13000,21300.00,350.00
20014,15,Rogue,2019,Silver,0,14000,21400.00,350.00
20015,16,1500,2020,Silver,1,15000,21500.00,350.00
20016,17,MT-07,2021,Silver,0,16000,21600.00,350.00
20017,18,V-Strom,2022,Silver,1,17000,21700.00,350.00
20018,19,Tundra,2023,Silver,0,18000,21800.00,350.00
20019,20,Focus,2024,Silver,1,19000,21900.00,350.00
20020,1,Silverado,2025,Silver,0,20000,22000.00,350.00
20021,2,ES350,2019,Silver,1,21000,22100.00,350.00
20022,3,CR-V,2020,Silver,0,22000,22200.00,350.00
20023,4,Titan,2021,Silver,1,23000,22300.00,350.00
20024,5,1500,2022,Silver,0,24000,22400.00,350.00
20025,6,MT-07,2023,Silver,1,25000,22500.00,350.00
20026,7,V-Strom,2024,Silver,0,26000,22600.00,350.00
20027,8,Rav4,2025,Silver,1,27000,22700.00,350.00
20028,9,F-150,2019,Silver,0,28000,22800.00,350.00
20029,10,Malibu,2020,Silver,1,29000,22900.00,350.00
20030,11,IS300,2021,Silver,0,30000,23000.00,350.00
20031,12,Pilot,2022,Silver,1,31000,23100.00,350.00
20032,13,Altima,2023,Silver,0,32000,23200.00,350.00
20033,14,1500,2024,Silver,1,33000,23300.00,350.00
20034,15,MT-07,2025,Silver,0,34000,23400.00,350.00
20035,16,V-Strom,2019,Silver,1,35000,23500.00,350.00
20036,17,Camry,2020,Silver,0,36000,23600.00,350.00
20037,18,Mustang,2021,Silver,1,37000,23700.00,350.00
20038,19,Tahoe,2022,Silver,0,38000,23800.00,350.00
20039,20,GX460,2023,Silver,1,39000,23900.00,350.00
20040,1,Civic,2024,Silver,0,40000,24000.00,350.00
20041,2,Sentra,2025,Silver,1,41000,24100.00,350.00
20042,3,1500,2019,Silver,0,42000,24200.00,350.00
20043,4,MT-07,2020,Silver,1,43000,24300.00,350.00
20044,5,V-Strom,2021,Silver,0,44000,24400.00,350.00
20045,6,Corolla,2022,Silver,1,45000,24500.00,350.00
20046,7,Explorer,2023,Silver,0,46000,24600.00,350.00
20047,8,Equinox,2024,Silver,1,47000,24700.00,350.00
20048,9,RX350,2025,Silver,0,48000,24800.00,350.00
20049,10,Accord,2019,Silver,1,49000,24900.00,350.00
20050,11,Rogue,2020,Silver,0,50000,25000.00,350.00
20051,12,1500,2021,Silver,1,51000,25100.00,350.00
20052,13,MT-07,2022,Silver,0,52000,25200.00,350.00
20053,14,V-Strom,2023,Silver,1,53000,25300.00,350.00
20054,15,Tundra,2024,Silver,0,54000,25400.00,350.00
20055,16,Focus,2025,Silver,1,55000,25500.00,350.00
20056,17,Silverado,2019,Silver,0,56000,25600.00,350.00
20057,18,ES350,2020,Silver,1,57000,25700.00,350.00
20058,19,CR-V,2021,Silver,0,58000,25800.00,350.00
20059,20,Titan,2022,Silver,1,59000,25900.00,350.00
20060,1,1500,2023,Silver,0,60000,26000.00,350.00
20061,2,MT-07,2024,Silver,1,61000,26100.00,350.00
20062,3,V-Strom,2025,Silver,0,62000,26200.00,350.00
20063,4,Rav4,2019,Silver,1,63000,26300.00,350.00
20064,5,F-150,2020,Silver,0,64000,26400.00,350.00
20065,6,Malibu,2021,Silver,1,65000,26500.00,350.00
20066,7,IS300,2022,Silver,0,66000,26600.00,350.00
20067,8,Pilot,2023,Silver,1,67000,26700.00,350.00
20068,9,Altima,2024,Silver,0,68000,26800.00,350.00
20069,10,1500,2025,Silver,1,69000,26900.00,350.00
20070,11,MT-07,2019,Silver,0,70000,27000.00,350.00
20071,12,V-Strom,2020,Silver,1,71000,27100.00,350.00
20072,13,Camry,2021,Silver,0,72000,27200.00,350.00
20073,14,Mustang,2022,Silver,1,73000,27300.00,350.00
20074,15,Tahoe,2023,Silver,0,74000,27400.00,350.00
20075,16,GX460,2024,Silver,1,75000,27500.00,350.00
20076,17,Civic,2025,Silver,0,76000,27600.00,350.00
20077,18,Sentra,2019,Silver,1,77000,27700.00,350.00
20078,19,1500,2020,Silver,0,78000,27800.00,350.00
20079,20,MT-07,2021,Silver,1,79000,27900.00,350.00
20080,1,V-Strom,2022,Silver,0,80000,28000.00,350.00
20081,2,Corolla,2023,Silver,1,81000,28100.00,350.00
20082,3,Explorer,2024,Silver,0,82000,28200.00,350.00
20083,4,Equinox,2025,Silver,1,83000,28300.00,350.00
20084,5,RX350,2019,Silver,0,84000,28400.00,350.00
20085,6,Accord,2020,Silver,1,85000,28500.00,350.00
20086,7,Rogue,2021,Silver,0,86000,28600.00,350.00
20087,8,1500,2022,Silver,1,87000,28700.00,350.00
20088,9,MT-07,2023,Silver,0,88000,28800.00,350.00
20089,10,V-Strom,2024,Silver,1,89000,28900.00,350.00
20090,11,Tundra,2025,Silver,0,90000,29000.00,350.00
20091,12,Focus,2019,Silver,1,91000,29100.00,350.00
20092,13,Silverado,2020,Silver,0,92000,29200.00,350.00
20093,14,ES350,2021,Silver,1,93000,29300.00,350.00
20094,15,CR-V,2022,Silver,0,94000,29400.00,350.00
20095,16,Titan,2023,Silver,1,95000,29500.00,350.00
20096,17,1500,2024,Silver,0,96000,29600.00,350.00
20097,18,MT-07,2025,Silver,1,97000,29700.00,350.00
20098,19,V-Strom,2019,Silver,0,98000,29800.00,350.00
20099,20,Rav4,2020,Silver,1,99000,29900.00,350.00
20100,1,F-150,2021,Silver,0,100000,30000.00,350.00
20101,2,Malibu,2022,Silver,1,101000,30100.00,350.00
20102,3,IS300,2023,Silver,0,102000,30200.00,350.00
20103,4,Pilot,2024,Silver,1,103000,30300.00,350.00
20104,5,Altima,2025,Silver,0,104000,30400.00,350.00
20105,6,1500,2019,Silver,1,105000,30500.00,350.00
20106,7,MT-07,2020,Silver,0,106000,30600.00,350.00
20107,8,V-Strom,2021,Silver,1,107000,30700.00,350.00
20108,9,Camry,2022,Silver,0,108000,30800.00,350.00
20109,10,Mustang,2023,Silver,1,109000,30900.00,350.00
20110,11,Tahoe,2024,Silver,0,110000,31000.00,350.00
20111,12,GX460,2025,Silver,1,111000,31100.00,350.00
20112,13,Civic,2019,Silver,0,112000,31200.00,350.00
20113,14,Sentra,2020,Silver,1,113000,31300.00,350.00
20114,15,1500,2021,Silver,0,114000,31400.00,350.00
20115,16,MT-07,2022,Silver,1,115000,31500.00,350.00
20116,17,V-Strom,2023,Silver,0,116000,31600.00,350.00
20117,18,Corolla,2024,Silver,1,117000,31700.00,350.00
20118,19,Explorer,2025,Silver,0,118000,31800.00,350.00
20119,20,Equinox,2019,Silver,1,119000,31900.00,350.00
20120,1,RX350,2020,Silver,0,120000,32000.00,350.00
20121,2,Accord,2021,Silver,1,121000,32100.00,350.00
20122,3,Rogue,2022,Silver,0,122000,32200.00,350.00
20123,4,1500,2023,Silver,1,123000,32300.00,350.00
20124,5,MT-07,2024,Silver,0,124000,32400.00,350.00
20125,6,V-Strom,2025,Silver,1,125000,32500.00,350.00
20126,7,Tundra,2019,Silver,0,126000,32600.00,350.00
20127,8,Focus,2020,Silver,1,127000,32700.00,350.00
20128,9,Silverado,2021,Silver,0,128000,32800.00,350.00
20129,10,ES350,2022,Silver,1,129000,32900.00,350.00
20130,11,CR-V,2023,Silver,0,130000,33000.00,350.00
20131,12,Titan,2024,Silver,1,131000,33100.00,350.00
20132,13,1500,2025,Silver,0,132000,33200.00,350.00
20133,14,MT-07,2019,Silver,1,133000,33300.00,350.00
